--- Episode Start: 120 steps ---
Step 107 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 108 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 109 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 110 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 111 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 112 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 113 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 114 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 115 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 116 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 117 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 118 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
Step 119 | Proposals: [AgentA:migrate, AgentB:power_state, AgentC:admission] | Referee: AgentA:migrate | Rewards: [AgentA:-19.0, AgentB:+1.0, AgentC:+1.0]
--- Episode End ---
